meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0.16896598419407383,0.07122149153652536,0.1875,0.1171875,0.2265625,0.109375,-0.607311605850416,2.3960104471466406,4.9604316,0.07430245,0.203125,0.16896598419407383,0.14,0.08,0.2,0.20279947916666666,0.0546875,0.2734375,0.21875,9.714285709844898,male
0.20236331961336873,0.053147770071123944,0.2265625,0.1796875,0.234375,0.0546875,-1.0542650826972915,3.370758942256262,4.3625765,0.04585694,0.234375,0.20236331961336873,0.11595531871687458,0.11257112811964523,0.11995585059317834,0.22455658783783783,0.0546875,0.265625,0.2109375,5.518518515902332,male
0.15630010413042328,0.06137166163417093,0.1484375,0.109375,0.203125,0.09375,0.1344058156976969,2.3817546979448956,4.8818784,0.055943336,0.140625,0.15630010413042328,0.13524229449312972,0.07426924703925045,0.1601218501126406,0.14678485576923078,0.0546875,0.2734375,0.21875,11.642857137534694,male
0.1728523897204468,0.042683361151722825,0.171875,0.15625,0.1875,0.03125,0.11407950616322513,4.087840403169928,4.1183114,0.03456977,0.1640625,0.1728523897204468,0.21806964138466464,0.15466751207845844,0.895382129050364,0.17517605633802816,0.0546875,0.2734375,0.21875,16.071428564081632,male
0.18256535294722198,0.05747822094577988,0.1953125,0.1171875,0.2265625,0.109375,-0.19686720032339874,1.7930119675755303,4.480097,0.044827096,0.109375,0.18256535294722198,0.11538180632795843,0.06969708340578841,0.14939896882100537,0.1783721301020408,0.0546875,0.2734375,0.21875,22.642857132506123,male
0.19051985604937727,0.06234564964033769,0.1640625,0.1328125,0.2578125,0.125,0.09529053461035034,1.5023070806382415,3.9878767,0.062334627,0.1328125,0.19051985604937727,0.13324038234582905,0.11387914162255151,0.15737105256787842,0.20732060185185186,0.0546875,0.2734375,0.21875,11.678571423232652,male
0.06050016150402371,0.07792391258637288,0.0078125,0.0,0.140625,0.140625,0.8681008103330409,2.3057282259228447,3.2463365,0.02961732,0.0,0.06050016150402371,0.13890203758755723,0.07426924703925045,0.17461411571650196,0.14210464015151514,0.0546875,0.1875,0.1328125,12.235294108434601,male
0.14344159926440625,0.06486748738259739,0.1328125,0.09375,0.1953125,0.1015625,0.3329829790511861,2.1746970839151385,4.9291453,0.06360636,0.109375,0.14344159926440625,0.2382458235003006,0.07299334582862124,0.32962755691286993,0.14104959239130435,0.0546875,0.2734375,0.21875,19.67857141957551,male
0.1888542821743613,0.06632970421668685,0.1796875,0.1328125,0.265625,0.1328125,-0.08930150810806126,1.7268442826358283,4.4032607,0.024702631,0.2734375,0.1888542821743613,0.13814088093433988,0.10442763330455712,0.1610494265540188,0.2037109375,0.0546875,0.2734375,0.21875,34.21428569864489,male
0.13357040601840708,0.07433152630406531,0.1328125,0.078125,0.1953125,0.1171875,-0.027407587969795325,1.9768682728672713,5.0988545,0.038244255,0.203125,0.13357040601840708,0.19201952566235356,0.06654967490706108,0.45815534711531475,0.12034970238095238,0.0546875,0.2734375,0.21875,25.071428559967345,male
0.1257417830029226,0.06778463904866344,0.109375,0.078125,0.171875,0.09375,0.6622533591693718,2.452605952764515,4.740416,0.04996991,0.0859375,0.1257417830029226,0.08790152341190503,0.0669351932518825,0.13621039964151846,0.10752203525641026,0.0546875,0.2734375,0.21875,8.857142853093878,male
0.16826161181359112,0.04779444869818982,0.171875,0.1484375,0.1953125,0.046875,-0.11133722735731474,2.9668797310754953,4.4779325,0.070975006,0.171875,0.16826161181359112,0.1718164973387904,0.14347872767421205,0.20765234878997257,0.16273941532258066,0.0546875,0.2421875,0.1875,4.958333330688888,male
0.1743521394128038,0.05887343825044212,0.171875,0.125,0.234375,0.109375,0.052833802762223714,1.9151001763188487,4.712587,0.02411588,0.125,0.1743521394128038,0.11125803033196072,0.0833644111580719,0.1849972113558172,0.16100680443548387,0.0546875,0.2734375,0.21875,28.535714272669388,male
0.21479004445154715,0.061329018121920355,0.2265625,0.1875,0.265625,0.078125,-0.975378037860891,2.9420443018933855,4.1872315,0.063758045,0.2734375,0.21479004445154715,0.2880656052249998,0.09971184887709214,0.39199543598174935,0.232421875,0.0546875,0.2734375,0.21875,10.071428566824489,male
0.22456291197977407,0.06320141183377892,0.25,0.2109375,0.265625,0.0546875,-1.4484549840756518,3.8336846224524948,3.8927414,0.064002484,0.265625,0.22456291197977407,0.19836799212873024,0.09466065809687631,0.3373322358273121,0.15167410714285715,0.0546875,0.2734375,0.21875,19.857142848065305,female
0.2389688007372115,0.033560240299748106,0.2421875,0.234375,0.2578125,0.0234375,-2.7458232348212412,12.590718569113363,3.4915743,0.10306194,0.2421875,0.2389688007372115,0.25383169797608995,0.21999999999999997,0.3353893451162676,0.22971270161290322,0.0546875,0.2734375,0.21875,5.714285711673469,female
0.17555426052518897,0.045541531969033516,0.1796875,0.1484375,0.1953125,0.046875,-0.3344351851329095,3.443853745696969,4.3654838,0.066982046,0.1796875,0.17555426052518897,0.1608206199693628,0.07010083450255941,0.22644649206156825,0.15897253787878787,0.0546875,0.2578125,0.203125,5.7307692279479285,female
0.17327604813362996,0.06151859709121322,0.1953125,0.125,0.2109375,0.0859375,-0.6984472874307522,2.4906785021565576,4.6606607,0.05376559,0.203125,0.17327604813362996,0.16977606394349581,0.06540639132514965,0.26774077300752996,0.18174715909090908,0.0546875,0.265625,0.2109375,11.037037031804664,female
0.18591121706003833,0.05395928418793727,0.1875,0.15625,0.2265625,0.0703125,-0.4352143869493669,2.817859962838433,4.6489224,0.053247172,0.1640625,0.18591121706003833,0.19165031708622918,0.08146036537576103,0.8354210664364569,0.18782552083333334,0.0546875,0.2734375,0.21875,13.14285713684898,female
0.15110678226847085,0.06597308523310078,0.1484375,0.09375,0.203125,0.109375,0.04677439719702915,1.8949465785997988,4.888957,0.015213005,0.1015625,0.15110678226847085,0.10561481575828356,0.06540639132514965,0.21006515286029162,0.16282552083333332,0.0546875,0.2734375,0.21875,17.749999991885712,female
0.20126927086246837,0.04101833131789456,0.1953125,0.1796875,0.234375,0.0546875,-0.5788329172586077,4.348192298302465,4.1314955,0.09672916,0.1875,0.20126927086246837,0.18865931039291664,0.08730705785825098,0.34322869944588436,0.18908361486486486,0.0546875,0.2734375,0.21875,5.857142854465306,female
0.20411807420850892,0.07399067676694111,0.2421875,0.1484375,0.2578125,0.109375,-0.9918690775627015,2.535456769048743,4.4279094,0.027680933,0.2734375,0.20411807420850892,0.29675807113715186,0.22514225623929052,0.43746578647972084,0.2384702620967742,0.0546875,0.2734375,0.21875,20.607142847722447,female
0.17429173191385416,0.06668860201756738,0.203125,0.1171875,0.2265625,0.109375,-0.609436233636932,2.1099972652714207,4.756247,0.050873533,0.21875,0.17429173191385416,0.18672802293181462,0.06540639132514965,0.24694165062806206,0.19368489583333334,0.0546875,0.265625,0.2109375,10.592592587570918,female
0.15797714264772367,0.06320287467779181,0.15625,0.109375,0.2109375,0.1015625,-0.07617858836126096,2.042823865012656,4.937292,0.029912502,0.2109375,0.15797714264772367,0.13146037440102917,0.07010083450255941,0.22775828324510303,0.16923564189189189,0.0546875,0.2734375,0.21875,30.714285700244897,female
0.22008453524222205,0.030885808010214018,0.21875,0.2109375,0.234375,0.0234375,-2.5262123803451764,15.438227367300318,3.547534,0.037543107,0.21875,0.22008453524222205,0.2073104052074865,0.06540639132514965,0.32584146150304416,0.19602272727272727,0.0546875,0.2734375,0.21875,14.42857142197551,female
0.2054706156566226,0.04093218086278772,0.2109375,0.1875,0.234375,0.046875,-1.1593371026188257,5.747602380068507,4.232979,0.036158793,0.203125,0.2054706156566226,0.1947559461828048,0.06616637698451641,0.29536595061165793,0.21675037202380953,0.0546875,0.2734375,0.21875,22.642857132506123,female
0.22116640367835316,0.05789680420132211,0.25,0.1953125,0.265625,0.0703125,-1.3289816400647292,3.715656909481722,4.160191,0.02515854,0.265625,0.22116640367835316,0.26814747368975517,0.19599771799087462,0.3699944227116344,0.2301739386792453,0.078125,0.2734375,0.1953125,18.07999999074304,female
0.19175193317869343,0.04029459952654835,0.1953125,0.1875,0.2109375,0.0234375,-1.8017958949898396,7.084878178275401,3.8948836,0.02635831,0.1953125,0.19175193317869343,0.17712408649966704,0.06540639132514965,0.23579016175798448,0.16175672743055555,0.0546875,0.234375,0.1796875,13.826086948827221,female
0.20294521057780912,0.039957796313481134,0.2109375,0.1953125,0.21875,0.0234375,-1.7109693615998096,7.423392415241272,3.8641162,0.03717579,0.203125,0.20294521057780912,0.2062072012249937,0.07688834637984607,0.2836614678567074,0.19755045572916666,0.0546875,0.2734375,0.21875,10.571428566595918,female
0.20169757369785657,0.030516302824915117,0.203125,0.1875,0.2109375,0.0234375,-0.8995146151038192,8.198538717051305,3.685533,0.011047863,0.1953125,0.20169757369785657,0.21598072598073972,0.15556349186104043,0.36786341164694414,0.20721084770114942,0.1015625,0.2734375,0.171875,49.0909090623471,female
